source_id,title,year,doi,url,source_type,domain,access_status,redistribution_status,priority,notes
SRC0001,ThermoML data archive,,,https://www.nist.gov/mml/acmd/trc/thermoml,database,surface_and_interfacial_tension,open,verify_terms,high,Machine-readable thermophysical data; descriptive standard is SRC0026
SRC0002,NIST Ionic Liquids Database ILThermo,2007,,https://www.nist.gov/mml/acmd/trc/ionic-liquids-database,database,ionic_liquids,open,verify_terms,high,Includes methods purity uncertainty and mixtures; descriptive article is SRC0027
SRC0003,NIST Chemistry WebBook fluid properties,,,https://webbook.nist.gov/chemistry/fluid/,database,pure_fluids,open,restricted_terms,medium,Surface tension only along saturation curve
SRC0004,NOAA ADIOS Oil Database,,,https://response.restoration.noaa.gov/adios-oil-database,database,petroleum_fluids,open,open_data_verify_license,high,JSON records vary in completeness and require record-level QC
SRC0005,Dynamic Surface Tension Database of Surfactants DST-SurfDB,2026,10.5281/zenodo.21118257,https://zenodo.org/records/21118257,dataset,dynamic_surface_tension,open,cc_by_4_0,high,DataCite DOI; 979 series and 233 surfactants; direct novelty comparator
SRC0006,IAPWS surface tension of ordinary water,2014,,https://iapws.org/technical-guidance/release/Surf-H2O,standard,reference_validation,open,verify_terms,high,Reference curve for water-vapor surface tension
SRC0007,Brine-Oil Interfacial Tension Modeling: Assessment of Machine Learning Techniques Combined with Molecular Dynamics,2020,10.1021/acsami.9b22189,https://doi.org/10.1021/acsami.9b22189,article,oil_brine_ift,metadata_open,fulltext_restricted,high,Closest supplied MD plus ML analogue
SRC0008,Enhancing wettability prediction in the presence of organics for hydrogen geo-storage through data-driven machine learning modeling of rock/H2/brine systems,2023,10.1016/j.fuel.2023.129354,https://doi.org/10.1016/j.fuel.2023.129354,article,mineral_wettability_ml,open_access,cc_by_verify,medium,Small data benchmark; audit grouping and external validity
SRC0009,Molecular Dynamics Investigation of Mineral Surface Wettability in Oil-Water Systems: Implications for Hydrocarbon Reservoir Development,2025,10.3390/min15111194,https://doi.org/10.3390/min15111194,article,mineral_wettability_md,open_access,cc_by,high,Recent multi-mineral MD source
SRC0010,Impact of Asphaltene Precipitation and Deposition on Wettability and Permeability,2021,10.1021/acsomega.1c03198,https://doi.org/10.1021/acsomega.1c03198,article,asphaltene_wettability,open_access,cc_by_verify,medium,Mechanism and unresolved heterogeneity questions
SRC0011,Salinity-dependent alterations of static and dynamic contact angles in oil/brine/calcite systems,2020,10.1016/j.fuel.2020.117615,https://doi.org/10.1016/j.fuel.2020.117615,article,calcite_wettability_md,local_fulltext,unknown,high,Retain static versus dynamic semantics
SRC0012,Wettability of Calcite Surfaces: Impacts of Brine Ionic Composition and Oil Phase Polarity at Elevated Temperature and Pressure,2020,10.1021/acs.langmuir.0c00367,https://doi.org/10.1021/acs.langmuir.0c00367,article,calcite_wettability_experiment,local_fulltext,fulltext_restricted,high,HPHT and surface-history metadata are critical
SRC0013,Correlation between Contact Angle and Water Film Energetics in Carbon Dioxide-Water-Clay Mineral Interfacial Systems: A Molecular Dynamics Study,2023,10.1021/acs.energyfuels.3c02471,https://doi.org/10.1021/acs.energyfuels.3c02471,article,clay_wettability_md,local_fulltext,fulltext_restricted,high,Potential energetic descriptor beyond contact angle
SRC0014,Wetting properties of the CO2-water-calcite system via molecular simulations: shape and size effects,2019,10.1021/acs.langmuir.9b02881,https://doi.org/10.1021/acs.langmuir.9b02881,article,calcite_wettability_md,local_fulltext,unknown,high,Finite-size and droplet-shape QA source
SRC0015,Physico-chemical studies and development of water-based drilling fluid formulations with carbon nanotube additives,2024,10.1016/j.molliq.2024.125448,https://doi.org/10.1016/j.molliq.2024.125448,article,mwcnt_drilling_fluid,metadata_open,fulltext_restricted,high,Closest direct competitor; preparation controls colloidal behavior
SRC0016,"The novel approach for the enhancement of rheological properties of water-based drilling fluids by using multi-walled carbon nanotube, nanosilica and glass beads",2016,10.1016/j.petrol.2016.01.036,https://doi.org/10.1016/j.petrol.2016.01.036,article,mwcnt_drilling_fluid,metadata_open,fulltext_restricted,high,Shows that generic performance improvement is not novel
SRC0017,Multiwalled Carbon Nanotubes at the Interface of Pickering Emulsions,2015,10.1021/acs.langmuir.5b03189,https://doi.org/10.1021/acs.langmuir.5b03189,article,mwcnt_interface,metadata_open,fulltext_restricted,high,Interfacial layer thickness and emulsion stability
SRC0018,Stable Pickering emulsions using multi-walled carbon nanotubes of varying wettability,2018,10.1016/j.colsurfa.2017.10.010,https://doi.org/10.1016/j.colsurfa.2017.10.010,article,mwcnt_wettability,metadata_open,fulltext_restricted,high,Supports nonlinear functionalization hypothesis
SRC0019,Preference of MWCNT to SWCNT and activated carbon for silica nanohybrid Pickering emulsion for C-EOR,2017,10.1016/j.jssc.2016.10.017,https://doi.org/10.1016/j.jssc.2016.10.017,article,mwcnt_eor,local_fulltext,fulltext_restricted,medium,Supporting mechanism and stability evidence
SRC0020,Multicomponent Solubility Parameters for Single-Walled Carbon Nanotube-Solvent Mixtures,2009,10.1021/nn900493u,https://doi.org/10.1021/nn900493u,article,cnt_dispersion,metadata_open,fulltext_restricted,high,Hansen descriptor foundation; SWCNT transfer must be tested
SRC0021,FeOs: An Open-Source Framework for Equations of State and Classical Density Functional Theory,2023,10.1021/acs.iecr.2c04561,https://github.com/feos-org/feos,software_article,physical_model,open,open_source_verify_license,high,Open EOS and classical DFT baseline
SRC0022,openCOSMO-RS,,,https://www.tuhh.de/v8/softwares/opencosmo-rs,software,physical_model,open,open_source_verify_license,high,Conformer and sigma-profile pipeline
SRC0023,Dortmund Data Bank,,,https://www.ddbst.com/ddb-search.html,database,thermophysical_properties,licensed,not_redistributable,medium,Assess institutional license and export rights
SRC0024,DIPPR 801,,,https://www.aiche.org/dippr/events-products/801-database/thermophysical-properties,database,pure_fluids,licensed,not_redistributable,medium,Recommended correlations and accuracy estimates
SRC0025,NIST REFPROP,,,https://www.nist.gov/srd/refprop,software_database,thermophysical_properties,licensed,not_redistributable,medium,Reference baseline rather than raw open observations
SRC0026,"XML-based IUPAC standard for experimental, predicted, and critically evaluated thermodynamic property data storage and capture (ThermoML) (IUPAC Recommendations 2006)",2006,10.1351/pac200678030541,https://doi.org/10.1351/pac200678030541,standard_article,thermoml_standard,metadata_open,fulltext_terms_verify,high,Describes the ThermoML standard; distinct from the live archive
SRC0027,ILThermo: A Free-Access Web Database for Thermodynamic Properties of Ionic Liquids,2007,10.1021/je700171f,https://doi.org/10.1021/je700171f,article,database_description,metadata_open,fulltext_restricted,medium,Describes ILThermo; distinct from the live database
